pathway_id,name,category,protein_count,pct_total
map00910,Nitrogen metabolism,Metabolism,11,0.09
map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Metabolism,11,0.09
map04610,Complement and coagulation cascades,Organismal Systems,11,0.09
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism,11,0.09
map00603,Glycosphingolipid biosynthesis - globo and isoglobo series,Metabolism,10,0.08
map04016,MAPK signaling pathway - plant,Environmental Information Processing,10,0.08
map00073,"Cutin, suberine and wax biosynthesis",Metabolism,10,0.08
map04744,Phototransduction,Organismal Systems,10,0.08
map00770,Pantothenate and CoA biosynthesis,Metabolism,10,0.08
map00290,"Valine, leucine and isoleucine biosynthesis",Metabolism,10,0.08
map03430,Mismatch repair,Genetic Information Processing,9,0.07
map05143,African trypanosomiasis,Human Diseases,9,0.07
map03022,Basal transcription factors,Genetic Information Processing,9,0.07
map00920,Sulfur metabolism,Metabolism,9,0.07
map00072,map00072,Other,9,0.07
map05321,Inflammatory bowel disease,Human Diseases,8,0.06
map00730,Thiamine metabolism,Metabolism,8,0.06
map00625,Chloroalkane and chloroalkene degradation,Metabolism,8,0.06
map00521,Streptomycin biosynthesis,Metabolism,8,0.06
map00591,Linoleic acid metabolism,Metabolism,8,0.06
map02025,Biofilm formation - Pseudomonas aeruginosa,Cellular Processes,8,0.06
map00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Metabolism,8,0.06
map00511,Other glycan degradation,Metabolism,8,0.06
map04977,Vitamin digestion and absorption,Organismal Systems,8,0.06
map00100,Steroid biosynthesis,Metabolism,8,0.06
map00195,Photosynthesis,Metabolism,8,0.06
map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Metabolism,8,0.06
map00430,Taurine and hypotaurine metabolism,Metabolism,7,0.06
map00903,Limonene degradation,Metabolism,7,0.06
map00940,Phenylpropanoid biosynthesis,Metabolism,7,0.06
map00965,Betalain biosynthesis,Metabolism,6,0.05
map00524,"Neomycin, kanamycin and gentamicin biosynthesis",Metabolism,6,0.05
map03070,Bacterial secretion system,Environmental Information Processing,6,0.05
map03410,Base excision repair,Genetic Information Processing,6,0.05
map00901,Indole alkaloid biosynthesis,Metabolism,6,0.05
map00670,One carbon pool by folate,Metabolism,6,0.05
map00514,Other types of O-glycan biosynthesis,Metabolism,6,0.05
map00660,C5-Branched dibasic acid metabolism,Metabolism,5,0.04
map00601,Glycosphingolipid biosynthesis - lacto and neolacto series,Metabolism,5,0.04
map00460,Cyanoamino acid metabolism,Metabolism,5,0.04
map00740,Riboflavin metabolism,Metabolism,5,0.04
map02026,Biofilm formation - Escherichia coli,Cellular Processes,5,0.04
map04112,Cell cycle - Caulobacter,Cellular Processes,5,0.04
map03450,Non-homologous end-joining,Genetic Information Processing,5,0.04
map00750,Vitamin B6 metabolism,Metabolism,5,0.04
map00300,Lysine biosynthesis,Metabolism,4,0.03
map00261,Monobactam biosynthesis,Metabolism,4,0.03
map00627,Aminobenzoate degradation,Metabolism,4,0.03
map00780,Biotin metabolism,Metabolism,4,0.03
map00362,Benzoate degradation,Metabolism,4,0.03
map00592,alpha-Linolenic acid metabolism,Metabolism,4,0.03
map05033,Nicotine addiction,Human Diseases,4,0.03
map00120,Primary bile acid biosynthesis,Metabolism,4,0.03
map05340,Primary immunodeficiency,Human Diseases,4,0.03
map00515,Mannose type O-glycan biosynthesis,Metabolism,4,0.03
map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,4,0.03
map04712,Circadian rhythm - plant,Organismal Systems,4,0.03
map00604,Glycosphingolipid biosynthesis - ganglio series,Metabolism,4,0.03
map00471,map00471,Other,3,0.02
map00333,Prodigiosin biosynthesis,Metabolism,3,0.02
map02030,Bacterial chemotaxis,Cellular Processes,3,0.02
map01503,Cationic antimicrobial peptide (CAMP) resistance,Human Diseases,3,0.02
map02040,Flagellar assembly,Cellular Processes,3,0.02
map05150,Staphylococcus aureus infection,Human Diseases,3,0.02
map04122,Sulfur relay system,Genetic Information Processing,3,0.02
map00785,Lipoic acid metabolism,Metabolism,3,0.02
map00512,Mucin type O-glycan biosynthesis,Metabolism,3,0.02
map01051,Biosynthesis of ansamycins,Metabolism,3,0.02
map02060,Phosphotransferase system (PTS),Environmental Information Processing,2,0.02
map05111,Biofilm formation - Vibrio cholerae,Cellular Processes,2,0.02
map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",Metabolism,2,0.02
map00643,Styrene degradation,Metabolism,2,0.02
map00254,Aflatoxin biosynthesis,Metabolism,2,0.02
map00281,map00281,Other,2,0.02
map00440,Phosphonate and phosphinate metabolism,Metabolism,2,0.02
map00540,Lipopolysaccharide biosynthesis,Metabolism,2,0.02
map01501,beta-Lactam resistance,Human Diseases,2,0.02
map00908,Zeatin biosynthesis,Metabolism,1,0.01
map00533,Glycosaminoglycan biosynthesis - keratan sulfate,Metabolism,1,0.01
map00966,Glucosinolate biosynthesis,Metabolism,1,0.01
map00626,Naphthalene degradation,Metabolism,1,0.01
map00232,Caffeine metabolism,Metabolism,1,0.01
map00311,Penicillin and cephalosporin biosynthesis,Metabolism,1,0.01
